나사,76,189
카바,64,164
아라,69,156
마하,57,145
타라,98,190
사바,77,149
바가,40,149
아가,95,176
나다,58,170
마차,94,146
파마,56,140
파타,68,169
마타,70,170
가파,85,140
타가,85,171
바다,55,151
나사,96,142
파나,65,160
바다,79,166
사하,54,199
사차,57,140
가차,78,145
카라,86,198
차카,93,174
다나,49,144
카사,60,153
타파,86,177
타바,80,144
다다,60,145
파나,66,156
마차,64,164
타바,82,163
타파,94,188
가하,90,155
다타,41,171
가다,47,177
다가,67,170
하차,88,168
아가,59,188
자하,94,177
자라,94,185
가파,87,169
라자,74,195
바다,43,194
차카,83,181
바타,43,183
나마,78,161
다파,53,167
가파,96,194
바파,85,187
다사,79,163
가가,69,145
아라,80,184
라라,56,140
카나,81,142
사사,66,182
바다,72,145
라바,88,161
다가,56,158
마라,93,155
바차,70,175
하가,44,149
아가,44,189
하라,51,160
차바,63,144
바마,43,168
차다,54,156
아가,78,158
다차,40,147
바자,53,180
차타,94,141
마나,41,160
나마,58,142
타하,67,196
가카,96,156
라하,89,180
나자,87,161
카타,44,143
파타,70,179
차자,93,191
다하,65,149
자하,53,180
하파,62,192
카차,45,194
라라,62,185
사사,57,172
다아,89,195
가다,91,145
마다,93,148
다나,50,154
마파,95,193
나자,50,163
가자,45,162
사가,95,176
사하,78,171
파타,48,177
바하,51,153
파차,76,141
다하,87,174
아가,69,154
자바,82,198
카타,89,154
라카,63,147
가바,57,178
바자,64,177
파타,42,148
타카,41,148
파차,53,192
자바,89,172
자마,95,192
다카,46,147
라사,77,167
가마,58,166
바가,81,153
사가,92,164
파나,43,143
라나,98,179
다사,75,168
차마,62,194
파마,97,189
사차,51,170
타타,65,173
아타,59,174
자타,53,164
라타,90,185
다파,59,147
파파,91,178
자사,44,156
마하,84,168
아파,71,152
파타,49,170
하파,56,174
하다,69,158
하가,86,165
하차,63,145
라차,67,154
라마,80,188
차파,91,151
나바,65,183
카아,64,176
라차,92,170
파바,65,188
마가,82,155
나가,80,151
차바,56,176
라하,99,140
바바,41,165
사파,50,149
아라,87,151
파하,70,145
차바,83,146
차차,93,184
타가,63,142
사타,69,193
자카,99,148
차라,95,195
하마,79,190
라사,83,196
바파,63,195
마나,72,190
마하,82,148
다가,40,149
카다,44,151
카바,84,176
다사,65,164
라하,98,154
파나,91,154
타자,66,159
카다,77,183
자하,50,161
하라,49,174
아다,73,159
나바,56,184
가카,81,179
차가,88,142
라타,93,186
아카,77,168
타라,59,156
아라,64,178
아아,51,156
마가,60,156
파파,40,178
라하,52,161
차아,84,150
아카,45,144
하아,46,161
하차,86,177
차카,67,149
라타,79,172
마라,70,198
나다,51,150
마라,85,145
가마,89,193
마바,76,150
카가,61,172
아자,77,175
아다,92,184
파카,74,175
사바,51,164
나다,54,190
하차,58,194
타차,89,194
가하,45,177
자라,87,143
자파,81,184
사차,52,173
하바,83,154
라다,54,155
라가,56,140
가타,54,156
가하,67,154
파가,94,182
사바,50,151
바아,76,152
카차,84,196
자다,41,141
파차,99,142
라카,88,178
아카,84,141
파자,89,197
자아,79,140
바하,52,157
사마,88,152
다사,64,155
파다,96,154
아사,59,149
타타,85,158
자자,54,176
가다,90,164
나사,71,172
자하,48,177
하마,86,147
나가,92,169
차바,50,145
차나,59,180
자다,91,189
나타,87,144
파아,40,144
바차,71,147
파나,66,146
차파,85,169
아자,82,146
가하,79,183
라나,99,183
자바,47,190
나아,54,158
다하,50,170
가파,88,176
자차,85,140
하차,89,157
바자,94,163
바자,44,141
자타,53,155
하마,65,190
나나,53,166
가마,84,191
마하,47,193
나사,68,143
마타,69,171
라바,58,192
자아,93,167
하파,93,182
하바,65,140
다라,98,141
라가,83,168
라마,89,189
나자,99,170
카나,53,149
마라,84,186
하하,41,197
타하,62,164
파하,77,157
자나,81,193
자나,45,172
카나,74,147
마타,56,173
파나,56,184
자가,49,148
카카,64,193
라타,41,163
나하,55,167
사라,58,179
가카,79,173
차가,53,196
사나,62,145
가마,47,156
자바,45,150
하가,51,188
가가,65,144
파바,83,191
바마,64,141
라나,69,158
파카,57,146
자카,77,169
차라,77,198
카아,89,166
하라,83,191
다마,52,142
카가,82,160
차바,47,176
파아,77,154
사다,64,190
타마,58,154
라마,84,170
타차,50,173
타라,43,164
다마,88,153
사차,71,179
아하,63,168
하아,54,187
하파,74,144
가가,50,186
타나,98,146
다라,49,150
사다,80,172
타카,67,174
하라,92,144
사타,95,171
타타,48,154
사나,53,140
가자,91,183
라가,88,156
사사,89,173
타아,93,142
카마,46,156
바카,65,154
사아,41,155
카타,40,173
아가,43,196
하다,90,193
나라,52,166
다마,79,158
카타,67,165
나차,57,191
하바,97,191
타하,62,174
다나,83,151
타타,69,191
하파,82,183
차자,86,174
나바,42,198
사차,40,175
가나,46,151
바다,79,154
카바,99,168
나타,60,163
카다,40,170
가바,54,154
사사,72,159
자자,92,195
가파,43,148
파나,56,156
마라,96,146
자카,88,140
마아,55,175
파다,59,143
아파,79,198
아라,68,150
자자,77,165
가타,45,180
라자,60,145
라하,42,188
타자,79,171
차차,95,151
나파,64,185
파하,63,141
라라,71,192
자나,72,163
자차,85,164
타차,81,186
아하,64,173
자라,82,154
사파,59,177
다파,46,146
자타,59,166
마바,75,176
아파,40,167
하아,58,179
라카,64,199
차차,80,156
라바,84,162
가차,47,176
자사,54,163
바하,69,192
차자,83,195
카바,78,193
타다,79,145
사나,55,157
바마,56,196
하나,96,142
하마,67,194
사바,92,140
아라,58,193
다라,64,192
자사,60,175
하타,54,183
나카,82,187
차바,46,164
나나,69,156
다카,88,162
다라,92,160
라바,91,171
하라,61,165
다타,66,154
아카,49,157
마하,68,183
파바,62,177
카차,98,153
바아,68,161
하자,73,194
자가,49,145
가나,81,196
사다,63,167
하차,96,152
자가,62,162
라자,74,165
마차,44,166
하자,92,184
카타,71,152
타카,66,177
파나,64,146
타자,62,155
하아,79,143
라차,61,140
카아,90,142
라라,40,166
바라,48,184
파바,50,154
자자,53,199
나자,79,165
가바,46,175
마마,46,193
카가,86,173
라아,50,185
마차,60,167
바나,74,163
아타,43,198
라사,44,150
마바,90,186
자카,62,171
타자,77,152
마마,42,161
다다,43,174
라가,87,195
나카,52,158
카다,94,166
바카,46,158
카마,80,168
마타,59,182
다나,74,184
사타,65,190
하다,73,162
파다,89,153
나하,83,160
타차,82,147
타마,66,176
마차,56,185
마파,75,166
차라,65,177
타다,83,183
사타,99,164
라하,85,159
파마,43,163
아나,87,182
카다,96,155
아타,42,146
라라,82,193
차마,50,187
하파,46,141
파마,51,158
타하,52,149
마다,52,196
하라,55,178
마하,98,161
카라,82,197
마나,78,188
마카,41,156
카차,56,192
자타,43,189
아마,80,148
나마,66,183
카타,45,158
사차,56,199
나사,51,157
하자,61,147
사마,53,173
차라,82,158
마타,44,188
하사,62,140
마사,40,159
하나,81,176
자아,61,160
사자,40,159
바아,86,175
마카,42,163
타사,74,189
가다,64,171
아다,84,190
타차,91,190
가사,43,177
자라,45,186
라다,79,148
나다,49,151
마파,91,161
라차,85,183
카타,54,197
나바,66,153
카카,80,196
자하,86,173
나파,96,195
파다,94,195
라가,92,196
차차,67,162
마다,90,179
마카,52,146
아아,62,182
가타,48,196
가라,81,155
차타,55,164
차사,51,188
카가,89,153
나카,90,146
아다,49,179
다카,73,150
파마,70,199
마카,50,195
다사,98,149
라아,49,161
자가,47,164
나카,62,162
나마,92,198
가나,47,192
바타,54,197
다사,45,162
카파,78,176
라마,80,172
사바,74,140
마사,89,163
하다,89,162
가자,60,174
아차,76,158
카다,60,188
아바,43,183
하하,68,193
바하,74,196
다하,78,152
아카,68,152
파차,93,184
자하,76,179
나나,74,143
차라,41,169
다마,45,173
라자,72,167
라아,74,152
바나,77,184
하자,77,184
차차,67,163
카나,70,190
바아,53,186
나나,69,149
차가,65,179
나라,55,158
파하,55,185
바자,71,193
차하,58,170
아타,97,155
가파,86,143
가자,42,193
바가,85,143
다하,79,162
자자,64,167
파나,48,141
가자,45,189
차타,75,196
마사,88,165
하가,56,180
바하,90,155
가아,42,162
다사,41,156
다마,67,181
마카,57,197
자타,84,160
라하,72,140
하파,65,174
마파,83,180
다사,55,158
라라,80,178
다사,42,158
라파,84,199
다카,56,166
가카,98,178
가마,85,144
사카,51,187
다다,65,172
사사,41,197
나가,97,174
타카,64,159
가자,59,183
자타,97,174
나가,73,181
파하,50,199
하아,70,178
타타,62,150
사파,69,170
타마,45,148
나나,93,146
바차,51,162
마마,88,158
카가,66,149
다카,90,166
사차,85,167
타가,51,167
라카,51,144
사아,97,188
사아,42,151
아가,43,149
마자,54,161
아가,49,190
차하,84,151
타아,50,187
라파,54,183
하타,59,154
가차,87,172
라나,74,181
하타,67,183
라자,60,170
다아,54,193
하차,67,149
마자,55,143
다마,59,193
바타,68,196
라가,52,170
사카,92,187
나나,59,190
마나,51,147
가자,58,163
다라,90,178
타자,67,172
다라,43,164
타마,77,167
차파,82,160
하파,84,149
라자,57,152
타다,89,150
라자,85,144
아타,66,170
가사,81,159
가하,76,149
가나,81,155
카나,69,164
마카,82,159
카카,72,194
파타,53,194
다카,90,197
나아,60,170
나아,90,184
나하,78,170
바파,91,181
파카,91,174
사다,95,168
다마,63,177
사하,96,159
하바,84,157
바마,96,165
자나,55,190
다나,94,186
다하,79,168
가가,46,196
파마,72,165
하마,45,153
가타,81,142
마차,64,186
나가,89,191
아아,65,161
다바,99,153
마가,47,147
파가,96,145
아자,96,147
하라,95,171
가라,68,142
타카,53,159
사다,88,163
사가,80,171
하아,69,194
다가,69,153
바카,52,192
아차,40,165
사차,58,142
하바,74,178
다파,76,186
마아,97,175
사사,93,179
가파,47,193
카다,46,152
나라,50,180
바바,66,182
다아,81,163
자파,75,166
다하,87,174
나자,86,153
파다,89,156
아바,52,149
나타,83,174
바가,71,148
파아,63,182
아라,80,142
차다,54,159
다자,51,182
자바,45,156
아아,59,168
자타,49,143
마가,70,146
하파,97,195
차마,86,194
사나,65,184
다타,48,145
마타,45,160
차타,51,193
다나,82,163
하카,80,174
카파,59,197
아카,47,178
사라,70,172
다카,96,168
타다,61,168
바마,60,147
바파,62,177
마라,46,181
아타,61,149
하아,53,171
파사,95,159
바하,46,171
바라,66,169
차파,63,199
자카,56,154
라마,73,188
카사,50,170
아카,72,163
라나,46,150
카아,91,148
하마,50,154
나차,94,172
라하,59,143
차카,98,195
자가,45,174
가하,75,183
바하,63,147
타자,92,195
바바,65,195
하카,72,181
타카,76,161
라차,52,159
바다,58,177
바아,94,193
아나,40,165
차파,91,168
사카,53,183
사파,54,188
타파,64,157
가차,41,144
카자,87,196
하차,81,191
아파,97,156
자타,41,153
마카,83,179
타아,70,181
가하,96,141
사카,68,141
바파,52,152
가라,74,151
차사,61,167
아차,85,142
사파,83,157
아가,46,172
라아,45,164
차사,91,186
파다,47,170
마다,66,188
나차,43,155
카바,49,149
라파,94,142
카하,51,156
타사,77,176
하바,67,193
바다,96,188
마라,45,169
카아,89,163
카나,80,169
차라,83,192
파자,69,180
하자,82,155
가타,54,167
카라,65,166
나마,55,154
나나,82,199
파라,43,177
나바,84,172
아파,58,160
마카,99,186
타아,51,169
타마,88,197
바차,91,170
아카,87,166
가자,66,146
